issue,word,pages,count
66,letters,"3,7,10",3
66,levels,5,1
66,lewis,10,1
66,library,"5,6",3
66,lighting,1,1
66,limited,5,1
66,linda,8,1
66,lively,1,1
66,loaned,5,1
66,located,9,1
66,location,9,1
66,looking,"3,6,7",3
66,looks,6,1
66,loved,10,1
66,lovely,"3,6",3
66,lovett,10,1
66,ltchington,1,1
66,luggage,4,1
66,magazine,"1,4,6,7",4
66,magnificent,9,2
66,maidens,3,1
66,mainland,4,1
66,majored,3,1
66,majority,4,1
66,makers,7,3
66,making,7,3
66,malcolm,6,3
66,mammoth,4,1
66,mansion,9,1
66,manufacturers,"4,6",2
66,manufacturing,4,1
66,march,4,1
66,marketed,3,1
66,marketing,9,1
66,martin,4,1
66,martland,8,1
66,marty,10,1
66,material,8,1
66,mathematics,8,1
66,means,7,1
66,meant,7,1
66,meetings,"4,9",2
66,melling,"1,3,9",3
66,members,"1,3,4,6,7,8,9,10",21
66,membership,"4,6",2
66,meteorologist,4,1
66,michael,10,1
66,milky,3,1
66,milton,4,1
66,mirror,7,1
66,mirrored,7,1
66,model,8,1
66,modem,"3,6",2
66,monogram,9,1
66,months,4,1
66,motto,3,1
66,moved,1,1
66,museum,"7,8",2
66,named,3,1
66,national,9,1
66,nations,4,1
66,native,8,1
66,nearly,5,1
66,negrini,10,1
66,neither,3,1
66,netherlands,1,1
66,newent,4,1
66,newsletter,"1,4,5,7",4
66,nister,3,1
66,novelty,7,1
66,november,1,2
66,numerous,7,1
66,obtain,7,1
66,obtaining,5,1
66,occupied,9,1
66,ofthis,6,1
66,older,3,1
66,opened,9,1
66,operated,9,1
66,opposition,6,1
66,orange,5,3
66,ordinary,9,1
66,organisation,4,1
66,organised,"4,9",2
66,ornamentation,9,1
66,ornaments,9,1
66,others,"3,7,8,9",6
66,ourselves,5,1
66,outlet,8,1
66,outlets,8,1
66,overton,1,1
66,packaging,9,1
66,packet,4,1
